Epoch;Loss_D;Loss_G;Score_D;Score_G;PSNR;SSIM;times
1;0,998815075;0,009920918;0,090041621;0,08661279;20,18080577;0,730645917;0,7788219
2;1,000002634;0,005721165;1,10E-05;1,36E-05;25,99939912;0,803914609;0,7894841
3;1,000000319;0,003801399;1,97E-06;2,29E-06;26,86496156;0,835010522;0,7735673
4;1,00000031;0,004160743;1,25E-06;1,56E-06;25,06674654;0,831612526;0,7729885
5;1,000000179;0,004036725;6,38E-07;8,22E-07;19,22342668;0,798571037;0,7744946
6;1,000000064;0,003498771;3,31E-07;3,98E-07;28,21575654;0,875586181;
7;1,00000006;0,003427755;2,79E-07;3,44E-07;25,99043153;0,839262703;
8;1,000000004;0,00300374;2,21E-07;2,28E-07;27,51498579;0,842832981;
9;1,000000013;0,003029998;1,77E-07;1,95E-07;28,72128697;0,878856326;
10;1,000000015;0,003007905;9,71E-08;1,17E-07;28,83343544;0,884083684;
11;1;0,002968304;8,38E-08;8,77E-08;23,69002614;0,76448644;
12;1,000000003;0,003044287;6,62E-08;7,39E-08;27,74960012;0,837290822;
13;1,000000004;0,00290082;4,41E-08;5,07E-08;15,54886937;0,848842385;
14;1,000000003;0,004152086;2,35E-08;2,86E-08;16,15774911;0,780559483;
15;0,999999999;0,003198794;1,76E-08;1,72E-08;28,88304879;0,897342335;
16;0,999999999;0,002861872;2,41E-08;2,32E-08;28,2334235;0,897734658;
17;0,999999995;0,002751329;4,84E-08;4,47E-08;14,42943291;0,837021415;
18;0,999999993;0,002789973;1,22E-07;1,18E-07;29,4671414;0,893129892;
19;1,00000003;0,002747994;3,99E-06;3,63E-06;16,21927481;0,865108634;
20;0,999999999;0,002721088;1,15E-08;1,14E-08;21,48213023;0,89180825;
21;0,999999998;0,003127174;1,79E-08;1,69E-08;24,78208897;0,88195296;
22;1,000000004;0,002761448;4,73E-07;3,84E-07;25,35798855;0,844595829;
23;1;0,002865947;1,08E-10;9,86E-11;28,16642204;0,907676896;
24;1;0,002667757;8,74E-11;9,66E-11;27,397135;0,902772898;
25;1;0,002635797;7,57E-11;6,99E-11;30,04201025;0,914581019;
26;1;0,002620381;1,33E-10;1,45E-10;29,34397866;0,909613563;
27;1;0,002586195;5,42E-11;5,50E-11;26,5020249;0,911244349;
28;1;0,002623466;7,89E-11;7,37E-11;26,98609091;0,890172095;
29;1;0,002676983;9,48E-11;9,19E-11;27,00931688;0,903019108;
30;1;0,002634464;8,32E-11;8,42E-11;29,98591536;0,911923532;
